Customer ID,First Name,Last Name,Age,Gender,City,Email,Account Type,Account Balance,TransactionID,Transaction Type,Transaction Amount,Loan Issue Date,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Card Type,Credit Limit,Minimum Payment Due,Rewards Points,Feedback Type,Resolution Status,Anomaly
1,Joshua,Hall,45,Male,Fort Worth,joshua.hall@kag.com,Current,1313.38,1,Withdrawal,1457.61,27-09-2022,1,32200.06,Mortgage,2.64,36,Rejected,AMEX,1737.88,226.22,8142,Suggestion,Resolved,1
2,Mark,Taylor,47,Female,Louisville,mark.taylor@kag.com,Current,5988.46,2,Deposit,1660.99,13-12-2020,2,47743.52,Auto,2.48,36,Approved,MasterCard,1799.36,42.84,4306,Complaint,Resolved,1
3,Joseph,Flores,25,Female,Philadelphia,joseph.flores@kag.com,Current,8277.88,3,Deposit,839.91,07-11-2023,3,47981.31,Auto,7.84,24,Closed,AMEX,6112.96,162.12,4842,Praise,Pending,1
4,Kevin,Lee,52,Other,Oklahoma City,kevin.lee@kag.com,Savings,7487.21,4,Withdrawal,4908.89,12-09-2021,4,4482.8,Personal,7.21,48,Approved,MasterCard,2069.41,216.46,9463,Complaint,Resolved,1
5,Linda,Johnson,68,Other,Phoenix,linda.johnson@kag.com,Savings,6993.55,5,Transfer,589.07,01-03-2018,5,1092.33,Mortgage,5.37,12,Approved,Visa,2765.3,1.29,2209,Complaint,Resolved,1
6,Charles,Torres,52,Male,El Paso,charles.torres@kag.com,Savings,9295.64,6,Withdrawal,4914.67,05-05-2020,6,48039.24,Mortgage,1.45,24,Closed,AMEX,8029.18,66.59,478,Praise,Resolved,1
7,Joshua,Garcia,43,Male,Dallas,joshua.garcia@kag.com,Current,,7,Deposit,3534.9,27-10-2020,7,27230.51,Mortgage,5.25,24,Approved,MasterCard,2996.82,72.08,5745,Complaint,Pending,1
8,Christopher,Baker,47,Male,Memphis,,Savings,1458.45,8,Deposit,454.87,13-06-2020,8,35319.63,Mortgage,8.51,12,Approved,AMEX,4470.78,172.51,5559,Complaint,Pending,1
9,Daniel,Moore,52,Male,Indianapolis,daniel.moore@kag.com,Current,1109.3,9,Withdrawal,768.56,22-06-2018,9,45717.26,Mortgage,1.1,60,Rejected,AMEX,4349.57,161.36,4432,Suggestion,Pending,-1
10,William,Robinson,55,Other,Washington,william.robinson@kag.com,Current,9554.62,10,Deposit,1641.59,27-03-2020,10,22224.58,Auto,1.92,24,Closed,Visa,4961.44,138.27,8226,Complaint,Resolved,1
11,William,Perez,28,Male,San Diego,william.perez@kag.com,Savings,5930.75,11,Withdrawal,1309.13,08-03-2021,11,22592.01,Personal,8.28,60,Rejected,Visa,4782.39,228.21,4624,Complaint,Pending,1
12,Nancy,Allen,37,Female,Oklahoma City,nancy.allen@kag.com,Current,8126.85,12,Deposit,4865.91,19-02-2023,12,9182.1,Auto,5.73,48,Approved,AMEX,5697.31,246.75,3488,Complaint,Pending,1
13,Margaret,Robinson,63,Female,Columbus,margaret.robinson@kag.com,Savings,5402.04,13,Deposit,3070.58,06-04-2023,13,45385.59,Auto,6.96,36,Approved,Visa,5776.68,16.98,2102,Praise,Resolved,1
14,Michelle,Taylor,48,Female,Colorado Springs,michelle.taylor@kag.com,Savings,4045.09,14,Transfer,381.21,07-09-2019,14,32735.99,Auto,7.71,48,Approved,Visa,3018.46,217.9,4833,Praise,Resolved,1
15,Nancy,Nelson,51,Other,Atlanta,nancy.nelson@kag.com,Savings,2082.67,15,Withdrawal,2631.77,06-12-2020,15,9833.19,Mortgage,3.7,36,Closed,AMEX,2345.93,53.33,4769,Suggestion,Pending,1
16,Michael,Young,29,Male,Fresno,michael.young@kag.com,Savings,8578.44,16,Transfer,4486.73,01-12-2021,16,28429.81,Mortgage,3.68,24,Approved,Visa,2673.1,38.54,7000,Complaint,Pending,1
17,Lisa,Adams,65,Female,Austin,lisa.adams@kag.com,Current,728.8,17,Transfer,2086.75,28-10-2023,17,17080.03,Auto,3.38,36,Rejected,AMEX,2838.82,195.26,2437,Suggestion,Pending,1
18,Mary,Wilson,45,Female,Omaha,mary.wilson@kag.com,Savings,9012.31,18,Deposit,3333.99,10-06-2024,18,8211.92,Auto,2.51,12,Closed,MasterCard,8388.99,158.26,5109,Praise,Resolved,1
19,Nancy,Martinez,20,Other,Tucson,nancy.martinez@kag.com,Current,2129.63,19,Withdrawal,3868.23,03-02-2022,19,9911.6,Personal,3.74,12,Rejected,AMEX,9371.27,14.95,8681,Praise,Resolved,1
20,Amanda,Campbell,65,Other,Milwaukee,amanda.campbell@kag.com,Savings,194.36,20,Deposit,933.29,17-11-2021,20,28403.6,Mortgage,9.58,48,Closed,MasterCard,7650.68,53.82,3441,Praise,Pending,1
21,Ashley,Scott,59,Other,Fresno,ashley.scott@kag.com,Savings,1128.58,21,Withdrawal,4278.95,05-08-2019,21,28654.88,Personal,1.77,12,Closed,MasterCard,1374.25,178,1213,Complaint,Pending,1
22,Donna,King,69,Female,San Antonio,donna.king@kag.com,Current,8846.74,22,Transfer,2249.62,19-07-2023,22,39707.1,Personal,3.17,48,Rejected,MasterCard,6394.78,2.68,4035,Complaint,Pending,-1
23,Mary,Rodriguez,22,Other,El Paso,mary.rodriguez@kag.com,Savings,829.7,23,Deposit,292.88,13-09-2020,23,13151.23,Mortgage,3.86,60,Closed,Visa,8026.74,71.25,1533,Complaint,Resolved,1
24,Charles,Adams,30,Female,San Antonio,charles.adams@kag.com,Savings,3616.88,24,Deposit,4395.73,17-06-2024,24,45875.84,Personal,2.38,60,Rejected,AMEX,5693.7,112.82,6245,Suggestion,Resolved,1
25,Steven,Ramirez,29,Male,Boston,steven.ramirez@kag.com,Savings,2578.13,25,Transfer,2826.12,12-08-2022,25,26412.03,Mortgage,1.7,48,Rejected,AMEX,1720.05,228.15,6588,Praise,Resolved,1
26,Barbara,Hernandez,18,Female,Chicago,barbara.hernandez@kag.com,Current,464.86,26,Transfer,999.63,26-02-2019,26,11004.46,Personal,2.46,48,Approved,Visa,5608.25,212.59,5749,Complaint,Pending,1
27,Lisa,Wilson,69,Male,Kansas City,lisa.wilson@kag.com,Savings,5361.52,27,Withdrawal,1594.08,10-08-2021,27,21250.75,Personal,5.75,48,Approved,AMEX,6736.21,54.23,1470,Suggestion,Pending,1
28,Amanda,Hill,60,Female,Oklahoma City,amanda.hill@kag.com,Savings,9983.5,28,Deposit,2851.17,15-12-2018,28,46244.6,Mortgage,6.37,36,Approved,AMEX,6126.15,76.52,2965,Complaint,Pending,1
29,Matthew,Campbell,36,Male,Fresno,matthew.campbell@kag.com,Savings,8544.77,29,Transfer,1877.13,03-11-2023,29,24429.67,Auto,2.94,12,Rejected,AMEX,7494.66,129.6,2963,Suggestion,Pending,1
30,Ronald,Jackson,46,Female,Baltimore,ronald.jackson@kag.com,Current,1772.04,30,Withdrawal,1174.58,26-06-2024,30,43861.04,Auto,5.53,36,Closed,Visa,3404.77,109.06,8656,Suggestion,Resolved,1
31,Anthony,Anderson,64,Female,San Francisco,anthony.anderson@kag.com,Current,8854.73,31,Withdrawal,2401.76,27-04-2024,31,8831.8,Auto,1.06,36,Approved,AMEX,7278.03,192.32,3298,Praise,Pending,1
32,Carol,Ramirez,67,Female,Jacksonville,carol.ramirez@kag.com,Current,4572.76,32,Transfer,933.38,19-01-2020,32,45783.96,Auto,6.42,36,Closed,Visa,3997.31,237.81,6208,Praise,Resolved,1
33,Betty,White,65,Female,Sacramento,betty.white@kag.com,Current,2805.18,33,Deposit,1234.44,17-05-2021,33,22100.32,Mortgage,1.01,60,Closed,MasterCard,7417.07,155.39,2387,Complaint,Resolved,1
34,Jessica,Davis,56,Other,Oklahoma City,jessica.davis@kag.com,Savings,6439.03,34,Transfer,4135.4,04-11-2023,34,46870.22,Personal,6.78,60,Rejected,Visa,5395.87,28.04,4561,Complaint,Resolved,1
35,Joseph,Nelson,59,Female,Seattle,joseph.nelson@kag.com,Current,2245.28,35,Transfer,1150.42,07-12-2023,35,43437.85,Mortgage,5.35,36,Closed,AMEX,8046.16,110.41,2971,Praise,Resolved,1
36,Timothy,Rodriguez,42,Female,Portland,timothy.rodriguez@kag.com,Current,8808.55,36,Withdrawal,3479.88,07-03-2020,36,33338.35,Mortgage,1.98,24,Rejected,Visa,5522.52,136.79,6543,Complaint,Pending,1
37,Amanda,Campbell,33,Other,Mesa,amanda.campbell@kag.com,Current,6279.42,37,Withdrawal,1259.84,25-12-2018,37,33969.47,Mortgage,1.8,36,Rejected,MasterCard,3589.1,238.79,443,Suggestion,Resolved,1
38,Michael,Allen,34,Other,El Paso,michael.allen@kag.com,Current,1446.62,38,Withdrawal,1069.87,21-11-2023,38,11363.89,Personal,1.06,24,Rejected,AMEX,9908.09,86.28,440,Praise,Resolved,1
39,Paul,Allen,45,Other,Albuquerque,paul.allen@kag.com,Savings,5749.42,39,Transfer,1263.27,31-05-2023,39,30538.66,Auto,5.96,24,Rejected,AMEX,3179.12,167.38,9290,Praise,Resolved,1
